scientificname;yeareventdate;montheventdate;dayeventdate;stateprovince;county;municipality;minimumelevationinmeters;decimallatitude;decimalLongitude
Euphydryas aurinia (Rottemburg, 1775);1973.000000;6.000000;12.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;500.000000;42.813900;-2.803600
Phengaris arion (Linnaeus, 1758);2010.000000;7.000000;26.000000;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Amurrio;830.000000;43.053100;-2.998600
Phengaris arion (Linnaeus, 1758);1999.000000;7.000000;25.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Peñacerrada-Urizaharra;650.000000;42.644200;-2.713300
Phengaris arion (Linnaeus, 1758);2001.000000;7.000000;8.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Peñacerrada-Urizaharra;650.000000;42.644200;-2.713300
Phengaris arion (Linnaeus, 1758);2001.000000;7.000000;8.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Peñacerrada-Urizaharra;900.000000;42.644200;-2.713300
Phengaris arion (Linnaeus, 1758);2000.000000;6.000000;25.000000;Álava;Añana;Zambrana;600.000000;42.660000;-2.879200
Phengaris arion (Linnaeus, 1758);2001.000000;7.000000;7.000000;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Ayala/Aiara;350.000000;43.050000;-3.066700
Phengaris arion (Linnaeus, 1758);2001.000000;7.000000;22.000000;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Ayala/Aiara;350.000000;43.050000;-3.066700
Phengaris arion (Linnaeus, 1758);2001.000000;7.000000;7.000000;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Ayala/Aiara;200.000000;43.050000;-3.066700
Phengaris arion (Linnaeus, 1758);1992.000000;7.000000;4.000000;Álava;Añana;Lantarón;600.000000;42.756900;-2.983300
Phengaris arion (Linnaeus, 1758);1992.000000;7.000000;12.000000;Álava;Añana;Valdegovía/Gaubea;720.000000;42.848100;-3.098600
Phengaris arion (Linnaeus, 1758);1998.000000;7.000000;12.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Urkabustaiz;650.000000;42.972200;-2.921700
Phengaris arion (Linnaeus, 1758);1999.000000;7.000000;10.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Urkabustaiz;650.000000;42.972200;-2.921700
Phengaris arion (Linnaeus, 1758);1998.000000;7.000000;12.000000;Álava;Añana;Kuartango;580.000000;42.871400;-2.885600
Euphydryas aurinia (Rottemburg, 1775);1974.000000;6.000000;15.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Urkabustaiz;634.000000;42.972200;-2.921700
Euphydryas aurinia (Rottemburg, 1775);1975.000000;6.000000;27.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Urkabustaiz;907.000000;42.972200;-2.921700
Euphydryas aurinia (Rottemburg, 1775);1976.000000;6.000000;23.000000;Álava;Arabako Errioxa / Rioja Alavesa;Laguardia;635.000000;42.554700;-2.619700
Euphydryas aurinia (Rottemburg, 1775);1976.000000;5.000000;23.000000;Álava;Arabako Errioxa / Rioja Alavesa;Lapuebla de Labarca;429.000000;42.493100;-2.571400
Euphydryas aurinia (Rottemburg, 1775);1976.000000;6.000000;6.000000;Álava;Arabako Lautada / Llanada Alavesa;Arratzua-Ubarrundia;518.000000;42.890300;-2.639200
Euphydryas aurinia (Rottemburg, 1775);1981.000000;6.000000;8.000000;Álava;Arabako Lautada / Llanada Alavesa;Arratzua-Ubarrundia;518.000000;42.890300;-2.639200
Euphydryas aurinia (Rottemburg, 1775);1978.000000;6.000000;4.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;624.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1992.000000;5.000000;24.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;624.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1974.000000;5.000000;21.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;498.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1974.000000;5.000000;29.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;498.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1975.000000;6.000000;14.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;498.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1982.000000;6.000000;23.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;498.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1987.000000;6.000000;9.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;498.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1989.000000;5.000000;26.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;498.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1993.000000;5.000000;6.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;498.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1979.000000;6.000000;17.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;539.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1981.000000;5.000000;30.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;539.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1986.000000;6.000000;8.000000;Álava;Arabako Lautada / Llanada Alavesa;Iruña Oka/Iruña de Oca;539.000000;42.813900;-2.803600
Euphydryas aurinia (Rottemburg, 1775);1980.000000;6.000000;28.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1981.000000;5.000000;5.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;568.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1981.000000;5.000000;15.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;568.000000;42.846700;-2.672700
Phengaris arion (Linnaeus, 1758);2015.000000;7.000000;4.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;;42.757500;-2.454700
Phengaris arion (Linnaeus, 1758);1979.000000;7.000000;15.000000;Álava;Añana;Valdegovía/Gaubea;650.000000;42.848100;-3.098600
Euplagia quadripunctaria (Poda, 1761);2001.000000;8.000000;17.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;590.000000;42.846700;-2.672700
Euplagia quadripunctaria (Poda, 1761);1991.000000;8.000000;19.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;793.000000;42.757500;-2.454700
Euplagia quadripunctaria (Poda, 1761);1982.000000;8.000000;10.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;550.000000;42.846700;-2.672700
Euplagia quadripunctaria (Poda, 1761);1984.000000;8.000000;30.000000;Bizkaia;Enkartazioak / Encartaciones;Artzentales;400.000000;43.240600;-3.241700
Euplagia quadripunctaria (Poda, 1761);1974.000000;7.000000;30.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;750.000000;42.757500;-2.454700
Euplagia quadripunctaria (Poda, 1761);1974.000000;8.000000;10.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;750.000000;42.757500;-2.454700
Euphydryas aurinia (Rottemburg, 1775);1980.000000;5.000000;27.000000;Álava;Añana;Kuartango;631.000000;42.871400;-2.885600
Euphydryas aurinia (Rottemburg, 1775);1980.000000;6.000000;24.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Legutio;529.000000;42.978600;-2.642500
